0.0680032 0.0680032 
0.0675508 0.0675508 
6536 6536 
14848 14848 
15616 15616 
9744 9744 
5240 5240 
6836 6836 
6108 6108 
13496 13496 
0.015052 0.015052 
0.0114162 0.0114162 
1849 1849 
0.0131211 0.0131211 
0.00786061 0.00786061 
10512 10512 
15904 15904 
11680 11680 
0.00815717 0.00815717 
9240 9240 
16376 16376 
0.00865308 0.00865308 
0.0082221 0.0082221 
0.00619628 0.00619628 
13096 13096 
0.00561066 0.00561066 
5.65498e-05 5.65498e-05 
15320 15320 
0.00514056 0.00514056 
0.00356441 0.00356441 
7904 7904 
0.00463471 0.00463471 
10992 10992 
0.00437592 0.00437592 
1459 1459 
0.000637603 0.000637603 
13544 13544 
4772 4772 
11424 11424 
6600 6600 
0.00456425 0.00456425 
0.00335166 0.00335166 
1634 1634 
0.00219863 0.00219863 
0.000751821 0.000751821 
3106 3106 
10480 10480 
0.0021909 0.0021909 
0.00285234 0.00285234 
12120 12120 
0.00136671 0.00136671 
7.28932e-05 7.28932e-05 
6.10181e-05 6.10181e-05 
6.10209e-05 6.10209e-05 
0.0590783 0.0590783 
0.0687573 0.0687573 
0.0672106 0.0672106 
14784 14784 
0.0684585 0.0684585 
0.0679827 0.0679827 
0.0670728 0.0670728 
0.0594181 0.0594181 
0.0664665 0.0664665 
0.0597821 0.0597821 
0.0621419 0.0621419 
3514 3514 
3010 3010 
0.0586672 0.0586672 
0.0547924 0.0547924 
0.05661 0.05661 
0.0564732 0.0564732 
5008 5008 
0.0562695 0.0562695 
4592 4592 
14240 14240 
0.0537615 0.0537615 
0.0506275 0.0506275 
0.052254 0.052254 
0.0509049 0.0509049 
0.0506699 0.0506699 
0.0512075 0.0512075 
3286 3286 
4488 4488 
0.0472772 0.0472772 
0.0452498 0.0452498 
0.0473127 0.0473127 
0.0455235 0.0455235 
0.0465994 0.0465994 
0.0411577 0.0411577 
14216 14216 
0.0379861 0.0379861 
0.0404574 0.0404574 
0.0435209 0.0435209 
0.0406239 0.0406239 
0.0410981 0.0410981 
15624 15624 
10808 10808 
12472 12472 
0.0396172 0.0396172 
14288 14288 
